representation,model,grouping,metric,mean_gap,n_folds,n_sig_raw_p05,n_sig_BH_q05
finbert_pca50,Logistic,BlackConcentration,TPR,0.0209,14,2.0,1.0
finbert_pca50,Logistic,BlackConcentration,FPR,0.0022,14,4.0,2.0
finbert_pca50,Logistic,BlackConcentration,PPR,0.0078,14,5.0,3.0
finbert_pca50,Logistic,BlackConcentration,AUC,0.0153,14,,
finbert_pca50,Logistic,SES_group,TPR,0.0545,14,4.0,3.0
finbert_pca50,Logistic,SES_group,FPR,0.0536,14,10.0,8.0
finbert_pca50,Logistic,SES_group,PPR,0.0604,14,10.0,9.0
finbert_pca50,Logistic,SES_group,AUC,-0.0076,14,,
finbert_pca50,XGBoost,BlackConcentration,TPR,0.0074,14,1.0,0.0
finbert_pca50,XGBoost,BlackConcentration,FPR,-0.0052,14,1.0,0.0
finbert_pca50,XGBoost,BlackConcentration,PPR,-0.0003,14,2.0,2.0
finbert_pca50,XGBoost,BlackConcentration,AUC,0.0122,14,,
finbert_pca50,XGBoost,SES_group,TPR,0.04,14,2.0,0.0
finbert_pca50,XGBoost,SES_group,FPR,0.0453,14,6.0,6.0
finbert_pca50,XGBoost,SES_group,PPR,0.0508,14,9.0,7.0
finbert_pca50,XGBoost,SES_group,AUC,-0.0132,14,,
structured,Logistic,BlackConcentration,TPR,0.0262,14,2.0,1.0
structured,Logistic,BlackConcentration,FPR,0.0112,14,2.0,2.0
structured,Logistic,BlackConcentration,PPR,0.0164,14,4.0,2.0
structured,Logistic,BlackConcentration,AUC,0.0141,14,,
structured,Logistic,SES_group,TPR,0.054,14,3.0,1.0
structured,Logistic,SES_group,FPR,0.0607,14,11.0,10.0
structured,Logistic,SES_group,PPR,0.0665,14,12.0,12.0
structured,Logistic,SES_group,AUC,-0.0067,14,,
structured,XGBoost,BlackConcentration,TPR,-0.0052,14,1.0,0.0
structured,XGBoost,BlackConcentration,FPR,-0.0001,14,2.0,0.0
structured,XGBoost,BlackConcentration,PPR,0.0019,14,2.0,2.0
structured,XGBoost,BlackConcentration,AUC,0.0083,14,,
structured,XGBoost,SES_group,TPR,0.0602,14,3.0,1.0
structured,XGBoost,SES_group,FPR,0.0534,14,10.0,10.0
structured,XGBoost,SES_group,PPR,0.0606,14,10.0,10.0
structured,XGBoost,SES_group,AUC,-0.0066,14,,
tfidf_full,Logistic,BlackConcentration,TPR,0.0268,14,3.0,1.0
tfidf_full,Logistic,BlackConcentration,FPR,0.0083,14,3.0,2.0
tfidf_full,Logistic,BlackConcentration,PPR,0.0134,14,3.0,3.0
tfidf_full,Logistic,BlackConcentration,AUC,0.0113,14,,
tfidf_full,Logistic,SES_group,TPR,0.0542,14,5.0,4.0
tfidf_full,Logistic,SES_group,FPR,0.0583,14,9.0,9.0
tfidf_full,Logistic,SES_group,PPR,0.0646,14,10.0,10.0
tfidf_full,Logistic,SES_group,AUC,-0.0052,14,,
tfidf_full,XGBoost,BlackConcentration,TPR,0.0113,14,2.0,0.0
tfidf_full,XGBoost,BlackConcentration,FPR,-0.0118,14,1.0,0.0
tfidf_full,XGBoost,BlackConcentration,PPR,-0.0054,14,3.0,0.0
tfidf_full,XGBoost,BlackConcentration,AUC,0.0107,14,,
tfidf_full,XGBoost,SES_group,TPR,0.0523,14,3.0,2.0
tfidf_full,XGBoost,SES_group,FPR,0.0463,14,8.0,6.0
tfidf_full,XGBoost,SES_group,PPR,0.0539,14,9.0,7.0
tfidf_full,XGBoost,SES_group,AUC,-0.0096,14,,
